# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
1222,1776205207.3293314,3910400,0.18118028342723846,1.6913851499557495,-0.18237994611263275,2.1934304237365723,-0.1812865436077118,2.0028865337371826
1223,1776205208.8119287,3913600,0.18118028342723846,1.6913851499557495,-0.18237994611263275,2.1934304237365723,-0.18225039541721344,2.191864490509033
1224,1776205209.048643,3916800,0.18084834516048431,2.043915271759033,-0.18237994611263275,2.1934304237365723,-0.18225039541721344,2.191864490509033
1225,1776205210.1923327,3920000,0.18084834516048431,2.043915271759033,-0.18237994611263275,2.1934304237365723,-0.18276135623455048,2.343411922454834
1226,1776205215.1264982,3923200,0.18047629296779633,1.680961012840271,-0.18237994611263275,2.1934304237365723,-0.18276135623455048,2.343411922454834
1227,1776205216.214422,3926400,0.18047629296779633,1.680961012840271,-0.18262210488319397,2.2068405151367188,-0.18276135623455048,2.343411922454834
1228,1776205217.2250593,3929600,0.18047629296779633,1.680961012840271,-0.18184390664100647,2.222503185272217,-0.18276135623455048,2.343411922454834
1229,1776205218.2807853,3932800,0.18047629296779633,1.680961012840271,-0.18184390664100647,2.222503185272217,-0.17999273538589478,2.3492565155029297
1230,1776205218.496552,3936000,0.18098615109920502,1.7569936513900757,-0.18184390664100647,2.222503185272217,-0.17999273538589478,2.3492565155029297
1231,1776205219.736405,3939200,0.18098615109920502,1.7569936513900757,-0.18184390664100647,2.222503185272217,-0.17819738388061523,2.322298526763916
1232,1776205224.3070147,3942400,0.17841774225234985,2.4635372161865234,-0.18184390664100647,2.222503185272217,-0.17819738388061523,2.322298526763916
1233,1776205225.8832777,3945600,0.17841774225234985,2.4635372161865234,-0.17810995876789093,2.4499571323394775,-0.17819738388061523,2.322298526763916
1234,1776205227.0102797,3948800,0.17841774225234985,2.4635372161865234,-0.17825303971767426,2.5268442630767822,-0.17819738388061523,2.322298526763916
1235,1776205227.7407374,3952000,0.1786407232284546,1.9824641942977905,-0.17825303971767426,2.5268442630767822,-0.17819738388061523,2.322298526763916
1236,1776205228.2658174,3955200,0.1786407232284546,1.9824641942977905,-0.17825303971767426,2.5268442630767822,-0.17845694720745087,2.7099385261535645
1237,1776205230.0355844,3958400,0.1786407232284546,1.9824641942977905,-0.17825303971767426,2.5268442630767822,-0.1804165542125702,2.152066707611084
1238,1776205233.6528773,3961600,0.17726421356201172,1.9226702451705933,-0.17825303971767426,2.5268442630767822,-0.1804165542125702,2.152066707611084
1239,1776205236.2751436,3964800,0.17726421356201172,1.9226702451705933,-0.17840804159641266,2.2789382934570312,-0.1804165542125702,2.152066707611084
1240,1776205237.03418,3968000,0.18017752468585968,2.3907830715179443,-0.17840804159641266,2.2789382934570312,-0.1804165542125702,2.152066707611084
1241,1776205237.2883322,3971200,0.18017752468585968,2.3907830715179443,-0.18087027966976166,2.5956737995147705,-0.1804165542125702,2.152066707611084
1242,1776205237.739345,3974400,0.18017752468585968,2.3907830715179443,-0.18087027966976166,2.5956737995147705,-0.17809359729290009,2.290703773498535
1243,1776205239.9976363,3977600,0.18017752468585968,2.3907830715179443,-0.18087027966976166,2.5956737995147705,-0.1798728108406067,2.4817559719085693
1244,1776205242.942776,3980800,0.17945177853107452,1.9761137962341309,-0.18087027966976166,2.5956737995147705,-0.1798728108406067,2.4817559719085693
1245,1776205245.7667673,3984000,0.17945177853107452,1.9761137962341309,-0.18093763291835785,2.461378335952759,-0.1798728108406067,2.4817559719085693
1246,1776205246.2187028,3987200,0.1770452857017517,2.284576177597046,-0.18093763291835785,2.461378335952759,-0.1798728108406067,2.4817559719085693
1247,1776205247.156753,3990400,0.1770452857017517,2.284576177597046,-0.1804627925157547,2.7003581523895264,-0.1798728108406067,2.4817559719085693
1248,1776205247.5554175,3993600,0.1770452857017517,2.284576177597046,-0.1804627925157547,2.7003581523895264,-0.1810385137796402,2.44378924369812
1249,1776205249.2227685,3996800,0.1770452857017517,2.284576177597046,-0.1804627925157547,2.7003581523895264,-0.178911954164505,2.788525342941284
1250,1776205252.0077267,4000000,0.17850729823112488,2.1173927783966064,-0.1804627925157547,2.7003581523895264,-0.178911954164505,2.788525342941284
1251,1776205255.2699912,4003200,0.17850729823112488,2.1173927783966064,-0.18201500177383423,2.53829026222229,-0.178911954164505,2.788525342941284
1252,1776205255.9472046,4006400,0.17701618373394012,1.8600012063980103,-0.18201500177383423,2.53829026222229,-0.178911954164505,2.788525342941284
1253,1776205256.917412,4009600,0.17701618373394012,1.8600012063980103,-0.18050727248191833,2.3814799785614014,-0.178911954164505,2.788525342941284
1254,1776205257.3813827,4012800,0.17701618373394012,1.8600012063980103,-0.18050727248191833,2.3814799785614014,-0.18025101721286774,2.4077072143554688
1255,1776205259.9227154,4016000,0.17701618373394012,1.8600012063980103,-0.18050727248191833,2.3814799785614014,-0.1809837371110916,2.3458385467529297
1256,1776205261.8620248,4019200,0.17576614022254944,1.82096266746521,-0.18050727248191833,2.3814799785614014,-0.1809837371110916,2.3458385467529297
1257,1776205265.4362626,4022400,0.1755012422800064,2.167969226837158,-0.18050727248191833,2.3814799785614014,-0.1809837371110916,2.3458385467529297
1258,1776205266.3765936,4025600,0.1755012422800064,2.167969226837158,-0.1798495650291443,2.302532196044922,-0.1809837371110916,2.3458385467529297
1259,1776205267.1212678,4028800,0.1755012422800064,2.167969226837158,-0.1798495650291443,2.302532196044922,-0.18071985244750977,2.406221628189087
1260,1776205267.2916062,4032000,0.1755012422800064,2.167969226837158,-0.17950208485126495,2.2486588954925537,-0.18071985244750977,2.406221628189087
1261,1776205270.0681887,4035200,0.1755012422800064,2.167969226837158,-0.17950208485126495,2.2486588954925537,-0.17820191383361816,2.54962158203125
1262,1776205270.9812782,4038400,0.1763266772031784,2.184173822402954,-0.17950208485126495,2.2486588954925537,-0.17820191383361816,2.54962158203125
1263,1776205275.0353818,4041600,0.17810633778572083,1.8214664459228516,-0.17950208485126495,2.2486588954925537,-0.17820191383361816,2.54962158203125
1264,1776205275.801811,4044800,0.17810633778572083,1.8214664459228516,-0.1794918179512024,2.3517258167266846,-0.17820191383361816,2.54962158203125
1265,1776205276.7939665,4048000,0.17810633778572083,1.8214664459228516,-0.1794918179512024,2.3517258167266846,-0.17640727758407593,2.4180216789245605
1266,1776205277.6917052,4051200,0.17810633778572083,1.8214664459228516,-0.17751245200634003,2.200324773788452,-0.17640727758407593,2.4180216789245605
1267,1776205279.7224,4054400,0.17810633778572083,1.8214664459228516,-0.17751245200634003,2.200324773788452,-0.17506703734397888,1.9391415119171143
1268,1776205280.339035,4057600,0.17979174852371216,2.0709848403930664,-0.17751245200634003,2.200324773788452,-0.17506703734397888,1.9391415119171143
1269,1776205284.6101897,4060800,0.18108996748924255,2.068845272064209,-0.17751245200634003,2.200324773788452,-0.17506703734397888,1.9391415119171143
1270,1776205285.1663728,4064000,0.18108996748924255,2.068845272064209,-0.1757970005273819,2.793792963027954,-0.17506703734397888,1.9391415119171143
